ArrayMax: 
5000.0
25000.0
450000.0
6250000.0
ArraySum: 
6000.0
22000.0
348000.0
6418000.0
MergeSort: 
31000.0
291000.0
3734000.0
45673000.0
InsertionSort: 
10000.0
445000.0
47573000.0
4655923000.0
