ArrayMax: 
5000.0
29000.0
533000.0
6710000.0
ArraySum: 
4999.99999999
22000.0
279000.0
5459000.0
MergeSort: 
29000.0
281000.0
3556000.0
41741000.0
InsertionSort: 
8000.0
497000.0
44892000.0
4722848000.0
