Date,Open,High,Low,Close,Adj Close,Volume
2015-11-02,101.180000,102.339996,100.839996,102.169998,89.238464,6297900
2015-11-03,101.839996,102.300003,101.110001,101.959999,89.055031,6229200
2015-11-04,101.900002,102.389999,101.690002,101.940002,89.037567,5592300
2015-11-05,102.250000,102.489998,101.419998,102.330002,89.378212,6545600
2015-11-06,101.570000,101.919998,100.860001,101.919998,89.020096,6221100
2015-11-09,101.389999,101.589996,100.550003,100.839996,88.076782,6625900
2015-11-10,101.000000,101.760002,100.680000,101.449997,88.609581,5114200
2015-11-11,101.779999,102.360001,101.500000,101.860001,88.967705,6284700
2015-11-12,101.139999,101.610001,100.220001,100.269997,87.578934,6918700
2015-11-13,100.040001,100.940002,99.739998,99.879997,87.238304,8517500
2015-11-16,100.379997,101.290001,100.040001,101.220001,88.408707,5755800
2015-11-17,100.379997,101.709999,100.379997,101.500000,88.653267,5124000
2015-11-18,101.529999,102.800003,101.309998,102.669998,89.675163,7148400
2015-11-19,102.660004,102.680000,102.059998,102.489998,89.517960,5164500
2015-11-20,102.489998,102.800003,102.199997,102.480003,90.169060,7671500
2015-11-23,102.389999,103.000000,102.190002,102.769997,90.424225,6730600
2015-11-24,101.809998,102.790001,101.809998,102.040001,89.781914,7492400
2015-11-25,102.169998,102.330002,101.959999,101.959999,89.711517,5400800
2015-11-27,102.279999,102.620003,101.790001,102.370003,90.072266,2353800
2015-11-30,102.480003,102.480003,101.239998,101.239998,89.078011,8983700
2015-12-01,101.730003,102.489998,101.120003,102.360001,90.063469,7545700
2015-12-02,102.500000,102.930000,101.989998,102.050003,89.790718,6623500
2015-12-03,102.269997,102.370003,100.309998,100.790001,88.682076,12008700
2015-12-04,101.400002,103.000000,101.279999,102.949997,90.582588,7845400
2015-12-07,102.610001,103.489998,102.599998,103.320000,90.908150,7262900
2015-12-08,102.980003,103.239998,101.910004,102.419998,90.116257,8005400
2015-12-09,102.139999,103.339996,101.669998,102.150002,89.878716,7947000
2015-12-10,102.300003,103.339996,101.800003,102.639999,90.309853,6479300
2015-12-11,102.370003,102.370003,101.430000,101.680000,89.465149,7796500
2015-12-14,101.650002,102.290001,100.779999,102.150002,89.878716,10641500
2015-12-15,102.650002,104.690002,102.650002,104.129997,91.620842,9283200
2015-12-16,104.639999,105.489998,103.519997,105.250000,92.606293,8178800
2015-12-17,105.160004,105.260002,103.629997,103.639999,91.189697,8740800
2015-12-18,103.080002,103.080002,101.949997,101.949997,89.702721,14966000
2015-12-21,102.339996,102.919998,100.849998,101.580002,89.377167,8321900
2015-12-22,101.910004,102.879997,101.150002,102.709999,90.371414,5581600
2015-12-23,103.110001,103.669998,102.739998,103.489998,91.057747,5531700
2015-12-24,103.120003,103.910004,103.010002,103.720001,91.260086,2546300
2015-12-28,103.180000,103.470001,102.930000,103.220001,90.820152,4063000
2015-12-29,103.339996,104.190002,103.339996,104.029999,91.532845,4230000
2015-12-30,104.110001,104.339996,103.529999,103.779999,91.312904,3847800
2015-12-31,103.370003,103.620003,102.690002,102.720001,90.380211,4592600
2016-01-04,101.709999,101.809998,99.449997,100.480003,88.409317,12722800
2016-01-05,100.580002,101.440002,100.570000,100.900002,88.778877,6467200
2016-01-06,99.820000,100.970001,99.599998,100.389999,88.330139,7733800
2016-01-07,99.309998,100.089996,98.879997,99.220001,87.300682,9433100
2016-01-08,99.879997,99.940002,97.849998,98.160004,86.368034,9766700
2016-01-11,98.239998,98.629997,96.080002,97.570000,85.848900,8151400
2016-01-12,97.989998,98.629997,97.239998,98.239998,86.438416,6745000
2016-01-13,98.489998,98.980003,96.839996,97.019997,85.364952,8290700
2016-01-14,97.099998,99.470001,97.000000,98.889999,87.010330,10164300
2016-01-15,96.370003,98.000000,96.250000,97.000000,85.347366,12662200
2016-01-19,97.930000,98.410004,96.900002,97.500000,85.787315,12457800
2016-01-20,96.110001,97.279999,94.529999,95.750000,84.247536,12685200
2016-01-21,95.769997,96.639999,94.279999,95.940002,84.414711,11266400
2016-01-22,97.019997,97.089996,95.949997,96.750000,85.127403,8380000
2016-01-25,96.720001,97.690002,96.040001,96.400002,84.819466,9350200
2016-01-26,97.260002,101.339996,97.139999,101.180000,89.025230,17266600
2016-01-27,100.489998,103.379997,100.489998,102.160004,89.887489,19330500
2016-01-28,102.500000,103.040001,101.849998,102.269997,89.984268,12789500
2016-01-29,102.889999,104.750000,102.629997,104.440002,91.893616,15614600
2016-02-01,103.610001,104.790001,103.220001,104.370003,91.832008,9803700
2016-02-02,103.300003,104.260002,103.000000,103.410004,90.987343,10616300
2016-02-03,103.650002,104.379997,102.010002,104.139999,91.629631,10168600
2016-02-04,103.610001,104.089996,102.730003,103.900002,91.418480,10389000
2016-02-05,102.660004,102.769997,99.779999,100.540001,88.462112,15522200
2016-02-08,100.309998,103.510002,100.220001,102.000000,89.746727,14323800
2016-02-09,101.309998,102.239998,100.970001,101.970001,89.720337,10044500
2016-02-10,102.050003,102.910004,101.370003,101.730003,89.509155,9833100
2016-02-11,100.459999,102.019997,99.980003,101.699997,89.482765,12465800
2016-02-12,101.820000,101.980003,100.720001,101.820000,89.588356,9035000
2016-02-16,102.370003,103.050003,101.650002,102.320000,90.028282,10452800
2016-02-17,102.750000,103.239998,102.230003,102.500000,90.186653,8904000
2016-02-18,102.830002,104.680000,102.500000,104.239998,91.717621,10744600
2016-02-19,103.580002,104.680000,103.379997,104.160004,92.311424,9343300
2016-02-22,104.160004,104.750000,104.050003,104.750000,92.834297,6947000
2016-02-23,104.650002,104.790001,103.959999,104.080002,92.240524,6629200
2016-02-24,103.339996,105.080002,102.970001,104.959999,93.020409,9076100
2016-02-25,104.949997,106.389999,104.769997,106.379997,94.278885,8092500
2016-02-26,106.820000,106.919998,105.419998,105.779999,93.747116,9049400
2016-02-29,105.279999,106.199997,105.040001,105.209999,93.241966,10111100
2016-03-01,105.900002,107.239998,105.440002,107.220001,95.023331,8298500
2016-03-02,106.910004,107.410004,106.430000,107.040001,94.863808,9767000
2016-03-03,106.820000,107.000000,105.629997,106.650002,94.518173,6927200
2016-03-04,106.510002,106.980003,106.070000,106.500000,94.385223,6715700
2016-03-07,106.000000,106.919998,105.489998,106.739998,94.597923,6973500
2016-03-08,106.519997,106.769997,105.970001,106.220001,94.137070,7632900
2016-03-09,106.839996,107.019997,106.089996,106.839996,94.686539,7564200
2016-03-10,106.989998,107.480003,106.070000,107.139999,94.952423,10474700
2016-03-11,107.500000,107.989998,107.209999,107.709999,95.457581,7763800
2016-03-14,107.919998,108.300003,107.309998,107.660004,95.413284,7242800
2016-03-15,107.620003,108.349998,106.760002,107.760002,95.501900,8476600
2016-03-16,107.730003,107.779999,106.879997,107.410004,95.191704,7065100
2016-03-17,107.470001,107.599998,106.449997,106.739998,94.597923,8571100
2016-03-18,106.989998,107.839996,106.360001,107.500000,95.271477,14758300
2016-03-21,107.410004,107.750000,106.550003,107.279999,95.076492,7674700
2016-03-22,107.279999,107.629997,107.050003,107.379997,95.165123,7821700
2016-03-23,107.290001,108.830002,107.199997,108.500000,96.157730,8191300
